serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
29515,Blood of Steel,/app/567630/,10/20/20,2203,4822,1454,6276,74.9,Strategy (2),"Action (1), Free to Play (37), Massively Multiplayer (29), Strategy (2)",YC Games,YC Games,SDK.CEF; SDK.FMOD; SDK.NVIDIA_PhysX,11/24/22,76,295,381,2203,12/6/20
29516,Cherry Kisses,/app/1259530/,4/23/20,12,47,8,55,74.9,Indie (23),"Casual (4), Indie (23)",Floraverse,Floraverse,Engine.Love2D; SDK.OpenAL; SDK.SDL,4/8/20,85,0,1,12,4/24/20
29517,Speed Stars,/app/1482700/,12/16/20,44,47,8,55,74.9,Sports (18),"Casual (4), Indie (23), Racing (9), Sports (18)",Luke Doukakis,Luke Doukakis,Engine.Unity; SDK.cURL,2/9/21,85,10,26,44,4/5/23
29518,Amnesia: Rebirth,/app/999220/,10/20/20,6486,5389,1633,7022,74.89,Adventure (25),"Adventure (25), Indie (23)",Frictional Games,Frictional Games,SDK.FMOD; SDK.SDL; SDK.Tobii; SDK.Vorbis,8/15/22,76,14,32,6486,10/20/20
29519,BEAUTIFUL DESOLATION,/app/912570/,2/26/20,175,432,113,545,74.88,Indie (23),"Adventure (25), Indie (23)",THE BROTHERHOOD,THE BROTHERHOOD,Engine.Unity,11/23/22,79,2,8,175,3/1/20
29520,I Am Your President: Prologue,/app/1201330/,12/2/20,217,435,114,549,74.86,Simulation (28),"Simulation (28), Strategy (2)",President Studio,President Studio,Engine.Unity,12/1/20,79,1,2,217,12/2/20
29521,ANIME REDEMPTION,/app/1192610/,2/10/20,1575,421,110,531,74.86,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28)",Konnichiwa Games,Konnichiwa Games,Engine.Unity,2/13/20,79,0,1,1575,3/10/23
29522,Escape from GULAG,/app/1274840/,7/21/20,3,51,9,60,74.85,Action (1),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Rabotiagi games,Rabotiagi games,Engine.Unity,3/22/20,85,0,0,3,6/30/20
29523,Tinker Racers,/app/1234620/,8/12/20,16,167,39,206,74.83,Indie (23),"Indie (23), Racing (9)",Rumbora Party Games,Rumbora Party Games,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.cURL,12/11/20,81,0,4,16,3/14/23
29524,Work And Girls,/app/1315860/,5/29/20,5,38,6,44,74.8,Indie (23),"Casual (4), Indie (23)",Kotovodk Studio,Kotovodk Studio,Engine.Unity,5/13/20,86,0,1,5,6/3/20
29525,I hope she's ok,/app/1384490/,11/13/20,3,38,6,44,74.8,Indie (23),Indie (23),inkakamu,inkakamu,Engine.Unity; SDK.UnityURP,6/24/21,86,0,0,3,11/14/20
29526,Wordle 2,/app/1386730/,8/31/20,2056,133,30,163,74.79,Casual (4),"Casual (4), Indie (23), Simulation (28), Sports (18)",Gigantum Games,PreoNus Games,Engine.Unity,2/18/23,81,1,5,2056,12/30/22
29527,Sokpop S07: Pupper park,/app/1207480/,1/17/20,4,29,4,33,74.78,Indie (23),"Casual (4), Indie (23), Simulation (28), Sports (18)",Sokpop Collective,Sokpop Collective,Engine.Unity; SDK.UnityBurst; SDK.UnityEntities; SDK.UnityHybridRenderer,12/14/21,87,0,0,4,4/24/20
29528,Daemonic Runner,/app/1210660/,1/3/20,4,29,4,33,74.78,Action (1),"Action (1), Indie (23)",Sergey Bobrov,Sergey Bobrov,SDK.SDL,1/2/22,87,0,0,4,1/5/20
29529,Encore Classic Card Games,/app/1246930/,9/16/20,31,29,4,33,74.78,Strategy (2),"Casual (4), Strategy (2)",Encore Inc.,Webfoot,SDK.OpenAL,2/25/20,87,10,29,31,4/5/23
29530,Hopebringers,/app/1298740/,5/25/20,9,29,4,33,74.78,Strategy (2),"Free to Play (37), Indie (23), Strategy (2)",Critical Miss Games,Critical Miss Games,Engine.Unity; SDK.UnityURP,5/11/20,87,0,0,9,5/25/20
